SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00000001;3051;9;5
N00000002;3726;5;14
N00000003;3733;9;10
N00000004;3409;11;12
N00000005;2828;14;14
N00000006;3871;5;10
N00000007;2891;13;14
N00000008;1594;13;28
N00000009;3824;11;8
N00000010;2821;10;17
N00000011;2398;6;20
N00000012;2724;8;18
N00000013;2679;9;22
N00000014;2703;8;20
N00000015;1141;12;34
N00000016;1040;17;25
N00000017;1473;18;23
N00000018;3243;8;16
N00000019;1633;9;29
N00000020;502;21;35
N00000021;1597;10;29
N00000022;1215;17;19
N00000023;1358;16;25
N00000024;3768;9;10
N00000025;3070;10;13
N00000026;3081;12;11
N00000027;1553;20;19
N00000028;3334;14;13
N00000029;2562;17;9
N00000030;2588;7;10
N00000031;2563;13;12
N00000032;3775;7;14
N00000033;1950;20;12
N00000034;4078;7;13
N00000035;1048;15;34
N00000036;3031;8;20
N00000037;2450;7;23
N00000038;2702;13;16
N00000039;2796;9;17
N00000040;1905;6;27
N00000041;3507;10;15
N00000042;3233;12;11
N00000043;2959;8;19
N00000044;854;23;19
N00000045;3499;9;11
N00000046;1312;24;11
N00000047;3561;7;16
N00000048;1721;15;20
N00000049;1399;12;28
N00000050;3693;11;13
N00000051;549;16;40
N00000052;600;21;29
N00000053;1016;13;35
N00000054;1690;10;27
N00000055;2029;12;24
N00000056;1881;11;22
N00000057;684;16;35
N00000058;898;21;27
N00000059;878;14;43
N00000060;1374;15;27
N00000061;2848;13;17
N00000062;4256;7;10
N00000063;2064;12;21
N00000064;150;23;42
N00000065;3998;3;10
N00000066;3777;8;9
N00000067;767;14;39
N00000068;4051;6;12
N00000069;79;24;48
N00000070;4056;4;13
N00000071;2895;6;17
N00000072;3659;9;13
N00000073;1797;11;21
N00000074;3734;10;10
N00000075;3154;8;17
N00000076;4178;4;9
N00000077;4331;3;10
N00000078;4455;7;6
N00000079;2872;12;11
N00000080;4116;8;9
N00000081;3250;13;14
N00000082;3059;15;10
N00000083;3043;12;9
N00000084;3841;9;6
N00000085;1515;13;27
N00000086;3578;6;16
N00000087;3755;8;11
N00000088;1640;10;33
N00000089;3769;8;13
N00000090;3672;6;12
N00000091;2688;13;18
N00000092;3585;10;10
N00000093;2339;13;16
N00000094;2969;13;9
N00000095;3252;8;12
N00000096;3340;8;12
N00000097;2697;14;14
N00000098;3577;10;9
N00000099;1883;6;30
N00000100;2049;9;25
N00000101;711;14;31
N00000102;1181;19;23
N00000103;2082;13;19
N00000104;1783;9;22
N00000105;2269;10;18
N00000106;430;16;37
N00000107;814;16;34
N00000108;3849;8;10
N00000109;2307;11;21
N00000110;2042;8;26
N00000111;4284;4;9
N00000112;2614;9;18
N00000113;2579;13;17
N00000114;3232;7;18
N00000115;847;17;32
N00000116;1070;14;32
N00000117;166;17;48
N00000118;3330;11;15
N00000119;3829;10;11
N00000120;3216;11;13
N00000121;2617;8;24
N00000122;3842;12;10
N00000123;4328;5;10
N00000124;3802;5;13
N00000125;2920;13;13
N00000126;2933;11;16
N00000127;2072;13;20
N00000128;2934;10;15
N00000129;92;18;56
N00000130;4214;8;9
N00000131;3846;9;9
N00000132;2882;14;11
N00000133;1944;17;18
N00000134;4058;8;10
N00000135;1604;14;23
N00000136;3852;10;9
N00000137;3497;9;14
N00000138;3742;12;12
N00000139;2408;11;22
N00000140;1785;13;26
N00000141;1555;14;29
N00000142;1463;13;31
N00000143;516;21;37
N00000144;896;21;32
N00000145;1354;5;40
N00000146;2664;13;11
N00000147;703;18;43
N00000148;722;22;29
N00000149;2472;8;23
N00000150;2083;17;18
N00000151;1051;14;35
N00000152;1063;13;33
N00000153;1996;12;23
N00000154;1581;15;24
N00000155;2058;17;15
N00000156;3318;14;12
N00000157;2504;14;17
N00000158;1421;18;19
N00000159;1753;11;25
N00000160;2651;10;19
N00000161;4384;8;7
N00000162;2054;12;24
N00000163;1000;15;31
N00000164;3464;10;10
N00000165;3185;12;15
N00000166;4179;9;10
N00000167;4186;11;8
N00000168;3615;13;11
N00000169;2742;12;14
N00000170;1777;18;20
N00000171;2580;14;15
N00000172;2835;12;14
N00000173;2992;11;14
N00000174;1252;14;35
N00000175;3215;6;15
N00000176;2103;13;24
N00000177;468;23;31
N00000178;1013;20;29
N00000179;647;19;33
N00000180;1262;15;31
N00000181;509;25;30
N00000182;2727;6;24
N00000183;2767;15;12
N00000184;1841;18;18
N00000185;3003;6;22
N00000186;1012;20;27
N00000187;781;18;33
N00000188;1134;19;27
N00000189;4045;10;6
N00000190;4038;8;12
N00000191;3910;8;12
N00000192;2665;11;14
N00000193;794;14;34
N00000194;2669;5;17
N00000195;2437;7;26
N00000196;1334;13;35
N00000197;3906;9;11
N00000198;3580;10;11
N00000199;3441;12;11
N00000200;3440;13;10
N00000201;3988;8;11
N00000202;4074;12;9
N00000203;2318;18;11
N00000204;3347;13;13
N00000205;4183;5;7
N00000206;2769;12;17
N00000207;1833;22;11
N00000208;4375;8;8
N00000209;4381;9;7
N00000210;1980;14;23
N00000211;2680;13;23
N00000212;1811;15;22
